operating_airline_name,operating_airline_iata_code,published_airline_name,published_airline_iata_code
ATA Airlines,TZ,ATA Airlines,TZ
Air Canada,AC,Air Canada,AC
Air China,CA,Air China,CA
Air France,AF,Air France,AF
Air New Zealand,NZ,Air New Zealand,NZ
AirTran Airways,FL,AirTran Airways,FL
Alaska Airlines,AS,Alaska Airlines,AS
All Nippon Airways,NH,All Nippon Airways,NH
American Airlines,AA,American Airlines,AA
American Eagle Airlines,MQ,American Airlines,AA
Asiana Airlines,OZ,Asiana Airlines,OZ
Atlantic Southeast Airlines,EV,Delta Air Lines,DL
BelAir Airlines,4T,BelAir Airlines,4T
British Airways,BA,British Airways,BA
Cathay Pacific,CX,Cathay Pacific,CX
China Airlines,CI,China Airlines,CI
Delta Air Lines,DL,Delta Air Lines,DL
EVA Airways,BR,EVA Airways,BR
Frontier Airlines,F9,Frontier Airlines,F9
Hawaiian Airlines,HA,Hawaiian Airlines,HA
Horizon Air,QX,Alaska Airlines,AS
Icelandair (Inactive),FI,Icelandair (Inactive),FI
Independence Air,DH,Independence Air,DH
Japan Airlines,JL,Japan Airlines,JL
KLM Royal Dutch Airlines,KL,KLM Royal Dutch Airlines,KL
Korean Air Lines,KE,Korean Air Lines,KE
Lufthansa German Airlines,LH,Lufthansa German Airlines,LH
Mesa Airlines,YV,US Airways,US
Mexicana Airlines,MX,Mexicana Airlines,MX
Midwest Airlines,YX,Midwest Airlines,YX
Northwest Airlines (became Delta),NW,Northwest Airlines (became Delta),NW
Philippine Airlines,PR,Philippine Airlines,PR
Singapore Airlines,SQ,Singapore Airlines,SQ
SkyWest Airlines,OO,Delta Air Lines,DL
SkyWest Airlines,OO,United Airlines - Pre 07/01/2013,UA
Sun Country Airlines,SY,Sun Country Airlines,SY
"TACA International Airlines, S.A.",TA,"TACA International Airlines, S.A.",TA
US Airways,US,US Airways,US
United Airlines,UA,United Airlines,UA
United Airlines - Pre 07/01/2013,UA,United Airlines - Pre 07/01/2013,UA
Virgin Atlantic,VS,Virgin Atlantic,VS
WestJet Airlines,WS,WestJet Airlines,WS
Boeing Company,,Boeing Company,
Miami Air International,GL,Miami Air International,GL
Air Canada Jazz,QK,Air Canada,AC
Qantas Airways,QF,Qantas Airways,QF
Ameriflight,A8,Ameriflight,A8
Spirit Airlines,NK,Spirit Airlines,NK
Xtra Airways,XP,Xtra Airways,XP
Evergreen International Airlines,EZ,Evergreen International Airlines,EZ
Aeromexico,AM,Aeromexico,AM
JetBlue Airways,B6,JetBlue Airways,B6
ExpressJet Airlines,XE,Delta Air Lines,DL
Southwest Airlines,WN,Southwest Airlines,WN
Virgin America,VX,Virgin America,VX
Aer Lingus,EI,Aer Lingus,EI
Allegiant Air,G4,Allegiant Air,G4
Jet Airways,9W,Jet Airways,9W
BelAir Airlines,BBB,BelAir Airlines,BBB
Emirates,EK,Emirates,EK
Mesaba Airlines,XJ,Delta Air Lines,DL
World Airways,WO,World Airways,WO
Air Berlin,AB,Air Berlin,AB
Republic Airlines,RW,Republic Airlines,RW
Servisair,N/A,Servisair,N/A
Pacific Aviation,N/A,Pacific Aviation,N/A
Swiss International,LX,Swiss International,LX
LAN Peru,LP,LAN Peru,LP
SkyWest Airlines,OO,United Airlines,UA
Swissport USA,N/A,Swissport USA,N/A
XL Airways France,SE,XL Airways France,SE
China Eastern,MU,China Eastern,MU
SAS Airlines,SK,SAS Airlines,SK
"Atlas Air, Inc",5Y,"Atlas Air, Inc",5Y
Compass Airlines,CP,Delta Air Lines,DL
Etihad Airways,EY,Etihad Airways,EY
Mesa Airlines,YV,American Airlines,AA
China Southern,CZ,China Southern,CZ
Compass Airlines,CP,American Airlines,AA
Turkish Airlines,TK,Turkish Airlines,TK
"COPA Airlines, Inc.",CM,"COPA Airlines, Inc.",CM
Air India Limited,AI,Air India Limited,AI
SkyWest Airlines,OO,Alaska Airlines,AS
Air Pacific Limited dba Fiji Airways,FJ,Air Pacific Limited dba Fiji Airways,FJ
Jazz Aviation,QK,Air Canada,AC
WOW Air,WW,WOW Air,WW
Volaris Airlines,Y4,Volaris Airlines,Y4
Mesa Airlines,YV,United Airlines,UA
SkyWest Airlines,OO,American Airlines,AA
Thomas Cook Airlines,MT,Thomas Cook Airlines,MT
Trego Dugan Aviation,N/A,Trego Dugan Aviation,N/A
Finnair,AY,Finnair,AY
ABC Aerolineas S.A. de C.V. dba Interjet,4O,ABC Aerolineas S.A. de C.V. dba Interjet,4O
Hong Kong Airlines Limited,HX,Hong Kong Airlines Limited,HX
Iberia,IB,Iberia,IB
French Bee,BF,French Bee,BF
Icelandair EHF,FI,Icelandair EHF,FI
Norwegian Air UK Ltd,DI,Norwegian Air UK Ltd,DI
Air Italy S.P.A,IG,Air Italy S.P.A,IG
El Al Israel Airlines LTD.,LY,El Al Israel Airlines LTD.,LY
TAP Air Portugal,TP,TAP Air Portugal,TP
Norwegian Air Shuttle ASA,DY,Norwegian Air Shuttle ASA,DY
Qatar Airways,QR,Qatar Airways,QR